App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 03:16:15 PM","1 min 36 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
2,0,0,1712536,1,0,0,0,
117,0,103,1712536,116,25,104,0,
205,0,203,1716116,205,22,203,0,
306,0,304,1711440,306,7,305,0,
425,0,422,1711440,424,6,423,0,
509,0,507,1711532,509,2,507,0,
618,0,609,1711532,618,4,610,0,
725,0,723,1711532,725,8,723,0,
812,0,809,1711532,811,5,810,0,
911,0,909,1711656,911,0,910,0,
1038,0,1028,1711656,1037,6,1028,0,
1112,0,1110,1711656,1112,5,1110,0,
1213,0,1210,1711656,1212,4,1211,0,
1328,0,1325,1711656,1328,3,1326,0,
1413,0,1411,1711656,1413,2,1411,0,
1513,0,1511,1711656,1513,2,1511,0,
1628,0,1625,1711656,1628,5,1626,0,
1722,0,1720,1711656,1722,4,1720,0,
1815,0,1813,1711656,1815,0,1813,0,
1932,0,1930,1711656,1932,7,1930,0,
2016,0,2013,1711656,2015,2,2014,0,
2116,0,2113,1711656,2116,1,2114,0,
2231,0,2229,1711656,2231,5,2229,0,
2317,0,2315,1711656,2317,2,2315,0,
2417,0,2415,1711656,2417,4,2415,0,
2532,0,2529,1711656,2532,3,2530,0,
2617,0,2615,1711656,2617,2,2616,0,
2974,0,2839,1712364,2900,20,2859,0,
3142,0,3138,1716784,3142,25,3138,1600000,
3147,0,3143,1716908,3146,0,3144,1600000,
3191,0,3185,1716908,3191,6,3186,1600000,
3319,0,3314,1731292,3318,22,3315,1600000,
3375,1,3385,1726684,3389,18,3385,1600000,
3389,1,3485,1726684,3487,7,3486,1600000,
3487,1,3604,1726772,3606,14,3604,1600000,
3606,1,3686,1726772,3688,12,3686,1600000,
3688,1,3786,1726772,3788,9,3786,1600000,
3788,1,3902,1726896,3905,7,3903,1600000,
3905,1,3986,1726896,3989,13,3987,1600000,
3989,1,4087,1726968,4089,10,4087,1600000,
4089,1,4207,1726896,4211,9,4208,1400000,
4211,1,4287,1726896,4291,5,4288,1400000,
4292,1,4388,1727044,4390,8,4388,1400000,
4390,1,4507,1727044,4510,7,4508,1400000,
4510,1,4588,1727036,4592,12,4589,1400000,
4592,1,4689,1727052,4692,10,4690,1400000,
4692,1,4809,1726980,4812,13,4810,1400000,
4813,1,4890,1726980,4894,8,4891,1400000,
4894,1,4990,1726980,4993,13,4991,1400000,
4993,1,5113,1727052,5116,7,5114,1400000,
5117,1,5192,1727052,5194,8,5193,1400000,
5195,1,5292,1727176,5294,0,5292,1400000,
5294,1,5406,1727104,5409,1,5407,1400000,
5409,1,5492,1727104,5494,2,5493,1400000,
5495,1,5593,1727120,5595,1,5593,1400000,
5595,1,5708,1727120,5710,0,5708,1400000,
5710,1,5795,1727244,5797,2,5796,1400000,
5798,1,5896,1727244,5904,0,5898,1400000,
5908,1,6010,1727120,6012,7,6011,1400000,
6013,1,6096,1727192,6099,4,6097,1400000,
6099,1,6197,1728060,6199,23,6197,1600000,
6199,1,6319,1728060,6321,5,6319,1600000,
6322,1,6355,1729372,6358,0,6356,1600000,
6358,1,6459,1730612,6461,7,6459,1600000,
6461,1,6592,1735596,6597,17,6593,1600000,
6598,1,6660,1735620,6662,25,6660,1600000,
6662,1,6766,1735620,6769,20,6767,1600000,
6770,1,6915,1733140,6919,20,6916,1600000,
6919,1,6966,1728800,6969,25,6966,1600000,
6970,1,7068,1724264,7070,25,7068,1600000,
7070,1,7191,1724264,7195,22,7191,1600000,
7195,1,7270,1720792,7272,12,7270,1600000,
7272,1,7371,1720792,7391,6,7372,1400000,
7392,1,7471,1720668,7474,4,7471,1400000,
7474,1,7571,1720668,7590,5,7571,1400000,
7590,1,7674,1720784,7679,6,7675,1400000,
7680,1,7774,1720660,7797,26,7775,1400000,
7797,1,7874,1720660,7877,4,7875,1400000,
7877,1,7975,1720660,7993,3,7975,1400000,
7993,1,8075,1720536,8078,2,8075,1400000,
8078,1,8176,1720536,8193,1,8176,1400000,
8194,1,8276,1720660,8279,0,8276,1400000,
8279,1,8376,1720660,8394,1,8377,1400000,
8394,1,8477,1720660,8480,2,8477,1400000,
8480,1,8577,1720536,8594,3,8577,1400000,
8594,1,8677,1720544,8681,0,8678,1400000,
8681,1,8777,1720544,8795,3,8778,1400000,
8795,1,8878,1720544,8881,2,8878,1400000,
8881,1,8978,1720544,8995,1,8978,1400000,
8996,1,9078,1720420,9081,4,9079,1400000,
9082,1,9179,1720420,9197,6,9180,1400000,
9198,1,9279,1720420,9284,2,9280,1400000,
9284,1,9380,1720916,9401,15,9380,1400000,
9401,1,9480,1721072,9483,26,9480,1400000,
9483,1,9580,1721056,9600,3,9581,1400000,
9601,1,9680,1721024,9683,3,9681,1600000,
9683,1,9781,1721024,9800,5,9781,1400000,
9800,1,9881,1721024,9884,4,9882,1400000,
9885,1,9981,1721024,9998,5,9982,1400000,
9999,1,10081,1721024,10085,2,10082,1400000,
10085,1,10182,1721024,10200,5,10182,1400000,
10200,1,10283,1721024,10286,2,10284,1400000,
10286,1,10383,1721140,10403,10,10384,1400000,
10404,1,10483,1721140,10486,0,10483,1400000,
10486,1,10583,1721264,10602,3,10585,1400000,
10602,1,10683,1721148,10686,6,10684,1600000,
10687,1,10789,1721896,10810,21,10790,1600000,
10810,1,10889,1721524,10892,27,10890,1600000,
10892,1,10990,1723384,11006,22,10990,1600000,
11007,1,11090,1724872,11093,30,11091,1600000,
11093,1,11190,1726360,11216,28,11191,1600000,
11217,1,11291,1726848,11297,28,11291,1600000,
11298,1,11391,1724440,11426,26,11392,1400000,
11426,1,11491,1720100,11498,35,11492,1600000,
11498,1,11592,1723588,11623,33,11592,1600000,
11626,1,11693,1726340,11698,23,11694,1600000,
11699,1,11792,1727208,11811,28,11793,1600000,
11812,1,11893,1728572,11896,20,11893,1600000,
11896,1,11993,1734524,12024,19,11994,1400000,
12025,1,12094,1741664,12101,17,12095,1400000,
12101,1,12194,1745632,12222,23,12195,1400000,
12223,1,12294,1747128,12298,19,12295,1400000,
12299,1,12395,1749112,12423,27,12396,1400000,
12424,1,12495,1747128,12498,17,12496,1400000,
12498,1,12596,1750904,12630,30,12596,1400000,
12630,1,12697,1754492,12701,27,12697,1400000,
12701,1,12797,1755112,12819,28,12798,1400000,
12819,1,12897,1755856,12900,23,12898,1600000,
12901,1,12998,1755856,13021,10,12999,1400000,
13022,1,13098,1758708,13105,20,13101,1400000,
13106,1,13199,1757716,13222,29,13199,1600000,
13222,1,13299,1759080,13302,31,13299,1600000,
13302,1,13399,1759080,13417,29,13400,1600000,
13418,1,13499,1760196,13503,30,13500,1600000,
13503,1,13601,1760444,13622,30,13602,1600000,
13623,1,13700,1761684,13706,15,13701,1500000,
13706,1,13801,1763048,13820,19,13801,1600000,
13820,1,13901,1767140,13904,14,13901,1600000,
13904,1,14001,1769248,14032,17,14002,1600000,
14032,1,14103,1775588,14106,25,14103,1600000,
14106,1,14202,1774588,14224,13,14205,1600000,
14224,1,14303,1774588,14314,14,14303,1600000,
14314,1,14402,1775704,14434,32,14403,1400000,
14434,1,14503,1780408,14506,19,14504,1600000,
14506,1,14603,1778904,14644,33,14605,1600000,
14645,1,14704,1779756,14707,26,14704,1600000,
14707,1,14804,1780004,14835,28,14805,1400000,
14835,1,14904,1775540,14910,27,14905,1500000,
14911,1,15004,1773168,15022,29,15005,1600000,
15023,1,15105,1774408,15108,25,15105,1600000,
15108,1,15205,1776268,15222,25,15206,1600000,
15222,1,15305,1752632,15309,30,15306,1600000,
15309,1,15406,1753004,15424,26,15406,1600000,
15424,1,15506,1752012,15510,29,15507,1400000,
15510,1,15606,1752004,15624,13,15607,1600000,
15624,1,15707,1752128,15710,19,15707,1600000,
15710,1,15807,1752352,15826,24,15807,1600000,
15826,1,15907,1752724,15911,28,15908,1600000,
15911,1,16008,1753096,16028,29,16009,1600000,
16028,1,16109,1753468,16113,28,16109,1600000,
16113,1,16209,1755080,16228,29,16210,1600000,
16228,1,16309,1755452,16313,27,16310,1600000,
16313,1,16411,1755692,16430,29,16412,1600000,
16430,1,16512,1756436,16515,27,16512,1600000,
16515,1,16614,1757204,16633,26,16615,1600000,
16633,1,16712,1758072,16716,25,16713,1600000,
16716,1,16814,1755096,16841,13,16814,1500000,
16842,1,16914,1756088,16917,28,16915,1600000,
16917,1,17014,1757080,17032,25,17015,1600000,
17033,1,17115,1757700,17119,25,17115,1600000,
17120,1,17215,1758072,17234,27,17215,1600000,
17234,1,17315,1758320,17319,25,17316,1600000,
17319,1,17416,1758444,17433,29,17416,1600000,
17433,1,17516,1758692,17519,28,17516,1600000,
17519,1,17616,1759164,17643,29,17618,1600000,
17646,1,17716,1759288,17719,18,17717,1600000,
17720,1,17817,1759412,17835,27,17817,1600000,
17835,1,17917,1759660,17921,25,17917,1600000,
17921,1,18017,1759660,18035,27,18018,1600000,
18036,1,18117,1759660,18121,25,18118,1600000,
18121,1,18218,1759660,18237,24,18218,1400000,
18237,1,18318,1759660,18322,27,18319,1600000,
18325,1,18418,1759660,18436,29,18419,1600000,
18437,1,18519,1760156,18522,28,18519,1600000,
18522,1,18619,1760652,18637,32,18620,1600000,
18637,1,18719,1760900,18723,12,18720,1600000,
18723,1,18820,1761768,18839,4,18820,1500000,
18839,1,18920,1762016,18924,5,18920,1600000,
18924,1,19020,1762264,19038,9,19021,1600000,
19038,1,19121,1762636,19128,8,19123,1600000,
19129,1,19221,1763132,19242,8,19222,1600000,
19242,1,19321,1763504,19325,7,19322,1600000,
19325,1,19422,1764372,19440,7,19422,1600000,
19440,1,19522,1765116,19525,8,19522,1600000,
19526,1,19622,1765488,19640,4,19623,1600000,
19640,1,19723,1765984,19726,10,19723,1600000,
19726,1,19823,1766108,19840,6,19823,1600000,
19840,1,19923,1766480,19937,8,19924,1600000,
19938,1,20023,1766728,20041,7,20024,1600000,
20041,1,20124,1767596,20130,5,20125,1600000,
20130,1,20224,1767968,20243,12,20225,1600000,
20243,1,20324,1768340,20327,6,20325,1600000,
20328,1,20424,1768588,20442,8,20425,1600000,
20442,1,20525,1768712,20528,8,20525,1600000,
20528,1,20625,1768960,20643,6,20626,1600000,
20643,1,20725,1769952,20729,6,20726,1600000,
20729,1,20826,1769952,20843,8,20826,1600000,
20843,1,20926,1770324,20930,0,20927,1600000,
20930,1,21027,1770076,21051,25,21028,1400000,
21051,1,21127,1769828,21130,28,21127,1600000,
21130,1,21227,1769828,21245,33,21228,1600000,
21245,1,21329,1769828,21332,30,21330,1600000,
21332,1,21428,1769828,21451,21,21429,1400000,
21451,1,21529,1769952,21532,27,21529,1600000,
21532,1,21629,1769952,21646,29,21630,1600000,
21646,1,21729,1769952,21733,28,21730,1600000,
21733,1,21830,1769952,21850,29,21830,1600000,
21851,1,21930,1769952,21935,30,21931,1600000,
21935,1,22030,1769952,22051,25,22031,1600000,
22051,1,22131,1770076,22134,28,22131,1600000,
22135,1,22231,1770076,22251,33,22232,1600000,
22251,1,22331,1770076,22335,30,22332,1600000,
22335,1,22431,1770076,22449,29,22432,1600000,
22450,1,22532,1770200,22535,33,22532,1600000,
22535,1,22632,1770200,22649,34,22632,1600000,
22650,1,22734,1770448,22741,27,22734,1600000,
22741,1,22833,1770820,22850,27,22833,1600000,
22851,1,22933,1771192,22936,25,22933,1600000,
22936,1,23033,1771316,23050,27,23034,1600000,
23051,1,23133,1771688,23136,27,23134,1600000,
23136,1,23234,1771812,23251,27,23234,1600000,
23251,1,23334,1772060,23337,27,23335,1600000,
23337,1,23434,1772432,23456,26,23435,1600000,
23457,1,23535,1772556,23539,30,23535,1400000,
23539,1,23635,1773052,23665,28,23635,1600000,
23666,1,23735,1773572,23740,27,23736,1500000,
23741,1,23836,1774068,23866,31,23837,1600000,
23867,1,23936,1778080,23939,34,23936,1400000,
23940,1,24036,1781252,24054,33,24037,1600000,
24054,1,24137,1777656,24142,32,24138,1600000,
24142,1,24237,1778772,24258,35,24237,1600000,
24258,1,24337,1778052,24341,23,24338,1400000,
24342,1,24437,1778176,24456,30,24438,1600000,
24456,1,24538,1778920,24541,25,24538,1600000,
24541,1,24638,1779252,24657,33,24638,1600000,
24657,1,24738,1779632,24743,28,24739,1600000,
24743,1,24838,1779648,24856,26,24839,1600000,
24856,1,24939,1779400,24942,2,24939,1400000,
24942,1,25039,1779400,25057,10,25039,1400000,
25057,1,25139,1779524,25143,2,25140,1400000,
25143,1,25240,1779400,25261,10,25241,1400000,
25262,1,25340,1779400,25344,5,25341,1400000,
25345,1,25440,1779400,25459,9,25440,1400000,
25459,1,25540,1779524,25543,5,25541,1400000,
25544,1,25641,1779524,25659,5,25641,1400000,
25660,1,25741,1779524,25744,5,25741,1400000,
25744,1,25841,1779524,25865,12,25841,1400000,
25865,1,25941,1779276,25944,6,25942,1400000,
25945,1,26041,1779276,26062,11,26042,1400000,
26063,1,26142,1779276,26145,6,26142,1400000,
26145,1,26242,1779400,26262,13,26242,1400000,
26263,1,26342,1779400,26346,8,26343,1400000,
26346,1,26443,1779524,26465,12,26443,1400000,
26466,1,26543,1779576,26550,10,26545,1400000,
26551,1,26643,1779640,26665,10,26644,1400000,
26665,1,26743,1779640,26746,7,26744,1400000,
26747,1,26844,1779640,26866,9,26844,1400000,
26866,1,26944,1779640,26948,7,26945,1400000,
26949,1,27044,1779640,27063,7,27045,1400000,
27063,1,27144,1779640,27147,2,27145,1400000,
27148,1,27245,1779640,27262,3,27245,1400000,
27263,1,27345,1779640,27348,2,27345,1400000,
27348,1,27445,1779640,27463,1,27446,1400000,
27463,1,27545,1779640,27548,7,27546,1400000,
27549,1,27646,1779640,27663,3,27646,1400000,
27663,1,27746,1779640,27749,5,27746,1400000,
27749,1,27846,1779640,27864,5,27847,1400000,
27864,1,27946,1779640,27950,0,27947,1400000,
27950,1,28047,1779640,28064,0,28047,1400000,
28065,1,28147,1779640,28150,2,28147,1400000,
28150,1,28247,1779640,28265,3,28247,1400000,
28265,1,28349,1779640,28353,0,28350,1400000,
28354,1,28448,1779640,28466,5,28448,1400000,
28466,1,28548,1779640,28551,2,28549,1400000,
28552,1,28648,1779632,28666,7,28649,1400000,
28667,1,28749,1779632,28752,4,28749,1400000,
28752,1,28849,1779632,28867,5,28849,1400000,
28867,1,28949,1779632,28952,2,28950,1400000,
28952,1,29049,1779756,29067,3,29050,1400000,
29068,1,29150,1779756,29153,2,29150,1400000,
29153,1,29250,1779756,29270,3,29251,1400000,
29271,1,29350,1779756,29353,2,29350,1400000,
29353,1,29450,1779756,29469,9,29451,1400000,
29469,1,29551,1779756,29554,2,29551,1400000,
29554,1,29651,1779880,29669,3,29651,1400000,
29670,1,29751,1779880,29754,2,29752,1400000,
29755,1,29851,1779880,29869,9,29852,1400000,
29870,1,29952,1779880,29955,0,29952,1400000,
29955,1,30052,1779880,30070,9,30052,1400000,
30070,1,30152,1779880,30155,2,30153,1400000,
30155,1,30253,1779880,30271,7,30253,1400000,
30271,1,30353,1779880,30356,4,30353,1400000,
30356,1,30453,1779880,30471,7,30453,1400000,
30471,1,30553,1779880,30556,0,30554,1400000,
30556,1,30654,1779880,30672,7,30654,1400000,
30672,1,30754,1779880,30757,4,30754,1400000,
30757,1,30854,1779880,30872,5,30855,1400000,
30873,1,30954,1780004,30957,4,30955,1400000,
30957,1,31055,1780004,31072,3,31055,1400000,
31072,1,31155,1780004,31158,4,31155,1400000,
31158,1,31205,1780004,31225,0,31205,1400000,
31225,1,31305,1780004,31308,7,31306,1400000,
31309,1,31406,1780128,31423,5,31406,1400000,
31424,1,31506,1780128,31509,2,31506,1400000,
31509,1,31606,1780128,31624,3,31606,1400000,
31624,1,31706,1780128,31709,0,31707,1400000,
31710,1,31806,1780128,31824,3,31807,1400000,
31825,1,31907,1780128,31910,4,31907,1400000,
31910,1,32007,1780128,32025,1,32007,1400000,
32025,1,32107,1780128,32110,4,32107,1400000,
32110,1,32207,1780128,32225,3,32208,1400000,
32225,1,32307,1780128,32310,5,32308,1400000,
32311,1,32408,1780128,32426,0,32408,1400000,
32426,1,32508,1780128,32511,2,32508,1400000,
32511,1,32608,1780128,32626,1,32608,1400000,
32626,1,32708,1780128,32712,4,32709,1400000,
32712,1,32809,1780128,32828,3,32810,1400000,
32828,1,32910,1780128,32913,5,32910,1400000,
32913,1,33010,1780252,33028,1,33010,1400000,
33028,1,33110,1780252,33113,2,33110,1400000,
33113,1,33210,1780324,33231,7,33211,1400000,
33231,1,33311,1780944,33314,23,33311,1600000,
33315,1,33412,1780216,33431,6,33413,1600000,
33431,1,33513,1779776,33518,5,33514,1600000,
33518,1,33613,1779776,33638,11,33614,1600000,
33639,1,33715,1703320,33727,37,33716,1600000,
33727,1,33815,1687308,33849,39,33815,1600000,
33849,1,33915,1691004,33919,37,33916,1600000,
33920,1,34015,1686188,34033,12,34015,1400000,
34033,1,34115,1686188,34120,0,34117,1400000,
34120,1,34215,1686100,34233,7,34216,1400000,
34233,1,34316,1686224,34321,0,34316,1400000,
34321,1,34416,1686288,34436,7,34417,1400000,
34437,1,34517,1686288,34520,0,34517,1400000,
34520,1,34617,1686296,34635,9,34617,1400000,
34635,1,34717,1686232,34720,2,34717,1400000,
34720,1,34817,1686356,34835,7,34817,1400000,
34835,1,34917,1686232,34920,4,34918,1400000,
34920,1,35018,1686232,35043,7,35018,1400000,
35043,1,35118,1686232,35121,5,35118,1400000,
35121,1,35218,1686232,35238,3,35218,1400000,
35238,1,35318,1686232,35321,5,35319,1400000,
35321,1,35418,1686232,35436,7,35419,1400000,
35436,1,35519,1686232,35522,5,35519,1400000,
35522,1,35619,1686356,35636,5,35619,1400000,
35637,1,35719,1686356,35722,4,35720,1400000,
35722,1,35819,1686356,35837,5,35820,1400000,
35837,1,35920,1686356,35922,2,35920,1400000,
35923,1,36020,1686356,36040,5,36021,1400000,
36040,1,36120,1686232,36123,4,36120,1400000,
36123,1,36220,1686232,36238,3,36221,1400000,
36238,1,36320,1686232,36323,2,36321,1400000,
36324,1,36421,1686232,36440,5,36421,1400000,
36440,1,36521,1686232,36524,6,36521,1400000,
36524,1,36621,1686232,36639,3,36621,1400000,
36639,1,36721,1686232,36724,5,36722,1400000,
36725,1,36822,1686232,36839,5,36822,1400000,
36840,1,36922,1686232,36926,2,36922,1400000,
36926,1,37022,1686232,37042,3,37022,1400000,
37042,1,37122,1686232,37125,2,37123,1400000,
37125,1,37222,1686232,37240,5,37223,1400000,
37240,1,37323,1686356,37325,2,37323,1400000,
37326,1,37423,1686356,37440,5,37423,1400000,
37440,1,37523,1686356,37526,5,37523,1400000,
37526,1,37623,1686356,37641,7,37624,1400000,
37641,1,37723,1686356,37726,2,37724,1400000,
37726,1,37824,1686356,37841,5,37824,1400000,
37841,1,37924,1686356,37930,2,37924,1400000,
37930,1,38024,1686356,38043,3,38025,1400000,
38044,1,38124,1686356,38127,7,38125,1400000,
38127,1,38225,1686356,38242,3,38225,1400000,
38242,1,38325,1686356,38328,3,38325,1400000,
38328,1,38425,1686356,38443,3,38425,1400000,
38443,1,38525,1686356,38528,2,38526,1400000,
38528,1,38625,1686356,38643,3,38626,1400000,
38643,1,38726,1686356,38728,0,38726,1400000,
38729,1,38826,1686356,38844,3,38826,1400000,
38844,1,38926,1686356,38930,0,38927,1400000,
38930,1,39026,1686356,39044,5,39027,1400000,
39044,1,39127,1686356,39130,2,39127,1400000,
39130,1,39227,1686232,39244,3,39227,1400000,
39245,1,39327,1686232,39330,6,39328,1400000,
39331,1,39427,1686232,39445,5,39428,1400000,
39445,1,39528,1686232,39531,4,39528,1400000,
39531,1,39628,1686232,39646,2,39628,1400000,
39646,1,39728,1686232,39731,7,39729,1400000,
39731,1,39828,1686232,39848,3,39829,1400000,
39848,1,39928,1686232,39931,5,39929,1400000,
39932,1,40029,1686232,40047,9,40029,1400000,
40047,1,40129,1686232,40132,3,40129,1600000,
40132,1,40229,1686232,40246,1,40230,1400000,
40246,1,40329,1686356,40332,2,40330,1400000,
40332,1,40430,1686356,40448,0,40431,1400000,
40448,1,40530,1686356,40535,2,40532,1400000,
40535,1,40631,1686356,40648,1,40631,1400000,
40649,1,40731,1686356,40736,2,40732,1400000,
40737,1,40831,1686232,40851,1,40832,1400000,
40851,1,40931,1686232,40934,2,40932,1400000,
40934,1,41032,1686232,41049,1,41032,1400000,
41049,1,41132,1686232,41135,5,41132,1400000,
41135,1,41232,1686304,41251,1,41233,1400000,
41251,1,41334,1686924,41337,7,41335,1600000,
41338,1,41436,1686800,41454,6,41437,1600000,
41455,1,41536,1688732,41539,5,41536,1600000,
41539,1,41636,1690228,41655,11,41637,1600000,
41655,1,41738,1690724,41741,4,41738,1400000,
41741,1,41838,1690724,41858,7,41838,1400000,
41858,1,41938,1686064,41942,23,41939,1400000,
41942,1,42038,1686560,42065,34,42039,1600000,
42065,1,42141,1687800,42144,22,42141,1600000,
42145,1,42245,1684328,42277,30,42245,1600000,
42277,1,42454,1690060,42456,23,42455,0,
42464,1,42464,1689936,42565,25,42465,0,
42567,1,42599,1689904,42601,25,42600,0,
42601,1,42702,1689856,42704,20,42703,0,
42634,0,42752,1689856,42771,4,42753,0,
42705,0,42856,1689856,42858,10,42856,0,
42771,0,42956,1689856,42958,0,42956,0,
42858,0,43056,1689856,43073,5,43057,0,
42958,0,43156,1689856,43159,4,43157,0,
43074,0,43257,1689856,43259,6,43257,0,
43159,0,43365,1689856,43388,5,43367,0,
43259,0,43458,1689856,43460,0,43458,0,
43388,0,43558,1689856,43560,8,43558,0,
43460,0,43658,1689848,43676,5,43659,0,
43561,0,43762,1689848,43764,10,43762,0,
43676,0,43862,1689848,43864,5,43862,0,
43764,0,43962,1689848,43979,4,43963,0,
43864,0,44062,1689848,44065,4,44063,0,
43980,0,44163,1689848,44165,2,44163,0,
44065,0,44269,1689848,44286,7,44270,0,
44165,0,44364,1689972,44366,2,44364,0,
44287,0,44464,1689972,44466,4,44464,0,
44366,0,44564,1689972,44581,5,44565,0,
44466,0,44674,1689972,44676,7,44675,0,
44582,0,44767,1689972,44769,17,44767,0,
44679,0,44867,1689972,44884,3,44867,0,
44769,0,44967,1689972,44969,4,44968,0,
44884,0,45067,1689972,45069,4,45068,0,
44970,0,45173,1689972,45190,5,45173,0,
45070,0,45270,1689972,45272,2,45271,0,
45190,0,45371,1689972,45373,2,45371,0,
45274,0,45471,1689972,45488,3,45471,0,
45373,0,45571,1689972,45573,2,45572,0,
45488,0,45671,1689972,45673,3,45672,0,
45573,0,45771,1689972,45789,3,45772,0,
45674,0,45872,1689972,45874,5,45872,0,
45789,0,45972,1689972,45974,2,45972,0,
45874,0,46076,1689972,46095,10,46078,0,
45974,0,46173,1689972,46175,0,46173,0,
46096,0,46273,1689972,46275,4,46273,0,
46175,0,46374,1689972,46392,10,46374,0,
46275,0,46475,1689972,46477,2,46475,0,
46392,0,46577,1689972,46579,2,46578,0,
46477,0,46676,1689972,46696,5,46679,0,
46580,0,46776,1689972,46779,0,46777,0,
46696,0,46880,1689972,46884,5,46880,0,
46781,0,46977,1689972,47012,5,46977,0,
46884,0,47077,1689972,47079,4,47077,0,
47012,0,47178,1689972,47180,4,47178,0,
47079,0,47278,1689972,47306,7,47278,0,
47180,0,47378,1688856,47380,8,47379,0,
47306,0,47478,1688856,47480,1,47479,0,
47381,0,47579,1688856,47601,5,47579,0,
47481,0,47679,1688856,47681,2,47679,0,
47601,0,47779,1688856,47781,4,47780,0,
47681,0,47881,1688856,47898,3,47881,0,
47781,0,47982,1688856,47984,4,47982,0,
47898,0,48082,1688856,48084,3,48083,0,
47984,0,48182,1688856,48200,5,48183,0,
48085,0,48283,1688856,48285,7,48283,0,
48200,0,48383,1688856,48385,0,48383,0,
48285,0,48489,1688856,48522,8,48493,0,
48385,0,48583,1688856,48586,3,48584,0,
48522,0,48684,1688856,48686,2,48685,0,
48586,0,48784,1688856,48801,5,48785,0,
